#,"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Population,Continent,Column-15,Column-16,Column-17,Column-18,Column-19,Column-20,Column-21
14,Poland,"2,875,729",+400,"74,255",+95,"2,646,340","155,134",412,"76,062","1,964","16,356,648","432,625","37,807,891",Europe,,,,,,,
15,Mexico,"2,434,562",+881,"228,838",+34,"1,941,913","263,811","4,798","18,699","1,758","7,134,254","54,797","130,194,304",North America,,,,,,,
16,Ukraine,"2,216,654","+1,602","51,333",+118,"2,101,722","63,599",177,"50,972","1,180","10,346,878","237,925","43,488,059",Europe,,,,,,,
17,Peru,"1,984,999",,"186,757",,N/A,N/A,"2,642","59,433","5,592","13,188,675","394,880","33,399,170",South America,,,,,,,
18,Indonesia,"1,869,325","+6,294","51,992",+189,"1,717,370","99,963",,"6,768",188,"17,422,551","63,076","276,217,181",Asia,,,,,,,
19,South Africa,"1,699,849",,"57,063",,"1,581,540","61,246",546,"28,329",951,"11,899,793","198,314","60,004,657",Africa,,,,,,,
20,Netherlands,"1,664,427",,"17,681",,"1,535,788","110,958",345,"96,937","1,030","14,248,931","829,861","17,170,259",Europe,,,,,,,
21,Czechia,"1,663,998",+386,"30,193",+2,"1,627,106","6,699",43,"155,115","2,815","25,953,333","2,419,321","10,727,526",Europe,,,,,,,
22,Chile,"1,434,884",,"30,058",,"1,355,224","49,602","3,247","74,466","1,560","15,284,313","793,203","19,269,102",South America,,,,,,,
23,Canada,"1,394,146",,"25,761",,"1,345,523","22,862",873,"36,639",677,"35,317,305","928,170","38,050,486",North America,,,,,,,
24,Philippines,"1,280,773","+4,777","22,064",+95,"1,202,257","56,452","1,704","11,545",199,"13,752,347","123,964","110,938,257",Asia,,,,,,,
25,Iraq,"1,229,121",,"16,566",,"1,146,745","65,810",435,"29,935",403,"10,719,740","261,075","41,060,005",Asia,,,,,,,
26,Romania,"1,078,952",,"30,878",,"1,043,171","4,903",315,"56,437","1,615","9,229,046","482,750","19,117,664",Europe,,,,,,,
27,Sweden,"1,078,062",,"14,485",,"1,002,915","60,662",150,"106,130","1,426","10,239,089","1,007,985","10,157,981",Europe,,,,,,,
28,Belgium,"1,071,271",+469,"25,041",+8,"985,968","60,262",330,"92,060","2,152","14,274,584","1,226,689","11,636,675",Europe,,,,,,,
29,Pakistan,"935,013","+1,383","21,376",+53,"867,447","46,190","3,196","4,158",95,"13,619,766","60,566","224,876,031",Asia,,,,,,,
30,Portugal,"853,034",,"17,036",,"812,174","23,824",59,"83,886","1,675","11,966,284","1,176,750","10,168,925",Europe,,,,,,,
31,Israel,"839,585",,"6,418",,"832,981",186,34,"90,026",688,"14,739,061","1,580,427","9,326,000",Asia,,,,,,,
32,Bangladesh,"812,960",,"12,869",,"753,240","46,851","1,202","4,891",77,"6,067,042","36,501","166,217,650",Asia,,,,,,,
33,Hungary,"806,206",+117,"29,883",+17,"718,577","57,746",63,"83,654","3,101","5,922,744","614,556","9,637,430",Europe,,,,,,,
34,Japan,"762,401",,"13,574",,"706,644","42,183","1,120","6,045",108,"14,964,722","118,660","126,114,631",Asia,,,,,,,
35,Jordan,"740,502",,"9,541",,"721,895","9,066",540,"71,911",927,"7,429,181","721,456","10,297,481",Asia,,,,,,,
36,Serbia,"713,840",,"6,924",,"701,411","5,505",28,"82,008",795,"4,220,000","484,808","8,704,474",Europe,,,,,,,
37,Switzerland,"698,369",,"10,841",,"659,808","27,720",107,"80,147","1,244","7,857,449","901,744","8,713,618",Europe,,,,,,,
38,Austria,"647,322",+243,"10,647",+7,"631,869","4,806",131,"71,493","1,176","45,983,005","5,078,571","9,054,319",Europe,,,,,,,
39,Malaysia,"627,652","+5,566","3,536",+76,"541,319","82,797",903,"19,164",108,"12,752,267","389,359","32,751,934",Asia,,,,,,,
40,Nepal,"591,494",,"7,990",,"497,960","85,544",,"19,967",270,"3,155,064","106,505","29,623,761",Asia,,,,,,,
41,UAE,"585,039",,"1,702",,"564,509","18,828",,"58,494",170,"51,923,942","5,191,543","10,001,639",Asia,,,,,,,
42,Lebanon,"541,628",,"7,769",,"524,500","9,359",90,"79,688","1,143","4,513,473","664,051","6,796,872",Asia,,,,,,,
43,Morocco,"521,530",,"9,181",,"509,277","3,072",101,"13,975",246,"6,568,573","176,017","37,317,838",Africa,,,,,,,
44,Saudi Arabia,"458,707",,"7,471",,"441,860","9,376","1,579","12,988",212,"19,836,639","561,657","35,318,038",Asia,,,,,,,
45,Ecuador,"432,739",,"20,814",,"398,645","13,280",489,"24,186","1,163","1,447,041","80,875","17,892,210",South America,,,,,,,
46,Bulgaria,"419,681",,"17,854",,"386,693","15,134",277,"60,828","2,588","2,918,130","422,947","6,899,515",Europe,,,,,,,
47,Greece,"410,166",,"12,301",,"382,817","15,048",392,"39,532","1,186","9,812,468","945,738","10,375,456",Europe,,,,,,,
48,Belarus,"400,422",,"2,919",,"392,744","4,759",,"42,389",309,"6,438,423","681,573","9,446,420",Europe,,,,,,,
49,Kazakhstan,"395,832",+768,"4,096",+20,"369,024","22,712",221,"20,849",216,"11,575,012","609,667","18,985,784",Asia,,,,,,,
50,Slovakia,"390,546",+95,"12,423",+9,"376,572","1,551",55,"71,501","2,274","2,869,093","525,272","5,462,111",Europe,,,,,,,
51,Bolivia,"389,994","+2,832","15,082",+58,"308,971","65,941",200,"32,991","1,276","1,563,016","132,222","11,821,174",South America,,,,,,,
52,Panama,"382,851",,"6,404",,"368,653","7,794",105,"87,450","1,463","2,727,936","623,112","4,377,924",North America,,,,,,,
53,Paraguay,"375,996",,"10,005",,"309,120","56,871",587,"52,120","1,387","1,358,072","188,253","7,214,090",South America,,,,,,,
54,Croatia,"357,786",+178,"8,096",+5,"348,469","1,221",51,"87,658","1,984","2,054,032","503,243","4,081,592",Europe,,,,,,,
55,Tunisia,"356,750",,"13,027",,"312,979","30,744",424,"29,894","1,092","1,519,696","127,344","11,933,790",Africa,,,,,,,
56,Georgia,"350,428","+1,023","4,951",+17,"335,029","10,448",,"88,003","1,243","5,187,667","1,302,775","3,982,013",Asia,,,,,,,
57,Azerbaijan,"334,747",,"4,945",,"327,114","2,688",,"32,740",484,"3,572,418","349,404","10,224,323",Asia,,,,,,,
58,Costa Rica,"331,920",,"4,228",,"249,209","78,483",509,"64,608",823,"1,291,655","251,419","5,137,456",North America,,,,,,,
59,Uruguay,"318,783",,"4,692",,"279,387","34,704",501,"91,474","1,346","2,415,625","693,157","3,484,963",South America,,,,,,,
60,Kuwait,"318,676",,"1,798",,"302,393","14,485",153,"73,609",415,"2,682,924","619,711","4,329,315",Asia,,,,,,,
61,Palestine,"310,233",+207,"3,517",,"302,147","4,569",19,"59,529",675,"1,845,535","354,133","5,211,424",Asia,,,,,,,
62,Dominican Republic,"301,984",,"3,655",,"246,216","52,113",462,"27,580",334,"1,590,765","145,286","10,949,233",North America,,,,,,,
63,Denmark,"286,948",,"2,520",,"272,371","12,057",19,"49,378",434,"59,154,699","10,179,370","5,811,234",Europe,,,,,,,
64,Lithuania,"276,759",+215,"4,317",+7,"260,873","11,569",118,"103,010","1,607","3,507,748","1,305,593","2,686,708",Europe,,,,,,,
65,Ethiopia,"273,024",,"4,213",,"246,883","21,928",319,"2,322",36,"2,755,429","23,430","117,603,952",Africa,,,,,,,
66,Egypt,"268,754",,"15,399",,"197,281","56,074",90,"2,581",148,"2,869,589","27,558","104,127,388",Africa,,,,,,,
67,Ireland,"264,826",,"4,941",,"247,362","12,523",26,"53,080",990,"4,729,538","947,966","4,989,143",Europe,,,,,,,
68,Guatemala,"262,255",,"8,305",,"239,804","14,146",5,"14,391",456,"1,456,203","79,908","18,223,463",North America,,,,,,,
69,Moldova,"255,501",,"6,137",,"248,062","1,302",60,"63,475","1,525","1,141,292","283,537","4,025,203",Europe,,,,,,,
70,Slovenia,"255,432",,"4,390",,"247,381","3,661",51,"122,851","2,111","1,301,301","625,865","2,079,205",Europe,,,,,,,
71,Bahrain,"252,600",,"1,143",,"231,113","20,344",332,"143,830",651,"4,742,989","2,700,653","1,756,238",Asia,,,,,,,
72,Venezuela,"243,621",,"2,734",,"223,788","17,099",306,"8,590",96,"3,359,014","118,439","28,360,649",South America,,,,,,,
73,Honduras,"242,377",+551,"6,493",+14,"86,381","149,503",528,"24,115",646,"736,313","73,257","10,051,078",North America,,,,,,,
74,Oman,"226,648","+1,553","2,434",+10,"206,026","18,188",303,"43,361",466,"1,550,000","296,536","5,227,021",Asia,,,,,,,
75,Armenia,"223,285",+73,"4,463",,"214,609","4,213",,"75,220","1,503","1,108,066","373,286","2,968,413",Asia,,,,,,,
76,Qatar,"218,798",,569,,"215,635","2,594",101,"77,925",203,"2,053,409","731,322","2,807,805",Asia,,,,,,,
77,Sri Lanka,"207,979",,"1,789",,"176,045","30,145",,"9,675",83,"3,557,469","165,487","21,497,007",Asia,,,,,,,
78,Bosnia and Herzegovina,"204,410",,"9,411",,"176,589","18,410",,"62,669","2,885","992,476","304,279","3,261,735",Europe,,,,,,,
79,Libya,"187,928",+243,"3,149",+3,"173,636","11,143",,"27,008",453,"1,052,817","151,305","6,958,231",Africa,,,,,,,
80,Thailand,"182,548","+2,662","1,297",+28,"131,999","49,252","1,169","2,609",19,"8,124,896","116,131","69,963,441",Asia,,,,,,,
81,Kenya,"172,639",,"3,308",,"118,226","51,105",121,"3,146",60,"1,836,410","33,468","54,870,471",Africa,,,,,,,
82,Nigeria,"166,816",,"2,117",,"163,190","1,509",11,791,10,"2,133,061","10,115","210,876,830",Africa,,,,,,,
83,North Macedonia,"155,418",,"5,458",,"149,496",464,25,"74,602","2,620","814,518","390,976","2,083,294",Europe,,,,,,,
84,Cuba,"150,103",,"1,025",,"143,105","5,973",173,"13,260",91,"4,484,454","396,148","11,320,159",North America,,,,,,,
85,S. Korea,"145,091",+454,"1,975",+1,"135,412","7,704",149,"2,828",38,"10,008,584","195,060","51,310,381",Asia,,,,,,,
86,Myanmar,"144,456",,"3,227",,"132,525","8,704",,"2,638",59,"2,633,023","48,092","54,749,852",Asia,,,,,,,
87,Latvia,"135,144",+256,"2,423",+10,"128,751","3,970",53,"72,398","1,298","2,736,977","1,466,230","1,866,676",Europe,,,,,,,
88,Albania,"132,384",,"2,452",,"129,702",230,18,"46,049",853,"741,271","257,846","2,874,862",Europe,,,,,,,
89,Algeria,"131,283",,"3,527",,"91,413","36,343",24,"2,944",79,"230,861","5,178","44,586,804",Africa,,,,,,,
90,Estonia,"130,242",+86,"1,264",,"124,991","3,987",11,"98,120",952,"1,454,703","1,095,930","1,327,368",Europe,,,,,,,
91,Norway,"127,066",,784,,"88,952","37,330",11,"23,269",144,"5,847,413","1,070,808","5,460,749",Europe,,,,,,,
92,Kyrgyzstan,"107,714",+379,"1,859",+7,"101,033","4,822",102,"16,261",281,"1,170,746","176,736","6,624,260",Asia,,,,,,,
93,Uzbekistan,"102,163",+199,699,+3,"98,129","3,335",23,"3,012",21,"1,377,915","40,622","33,920,406",Asia,,,,,,,
94,Zambia,"100,765",,"1,315",,"93,694","5,756",243,"5,343",70,"1,619,450","85,863","18,860,836",Africa,,,,,,,
95,Montenegro,"99,834",,"1,594",,"97,621",619,60,"158,936","2,538","422,387","672,441","628,140",Europe,,,,,,,
96,Ghana,"94,228",,787,,"92,362","1,079",6,"2,975",25,"1,188,952","37,536","31,675,087",Africa,,,,,,,
97,Finland,"93,394",+113,959,,"46,000","46,435",11,"16,832",173,"5,149,164","927,985","5,548,755",Europe,,,,,,,
98,China,"91,300",+33,"4,636",,"86,255",409,10,63,3,"160,000,000","111,163","1,439,323,776",Asia,,,,,,,
99,Afghanistan,"82,326",,"3,251",,"58,998","20,077","1,124","2,072",82,"501,465","12,618","39,741,819",Asia,,,,,,,
100,Cameroon,"78,929",,"1,275",,"73,974","3,680",122,"2,906",47,"1,694,017","62,375","27,158,524",Africa,,,,,,,
101,El Salvador,"74,141",,"2,279",+5,"69,215","2,647",27,"11,377",350,"1,000,769","153,569","6,516,730",North America,,,,,,,
102,Cyprus,"72,859",,364,,"70,701","1,794",18,"59,939",299,"7,001,854","5,760,226","1,215,552",Asia,,,,,,,
103,Mozambique,"71,145",,838,,"69,687",620,17,"2,219",26,"561,181","17,501","32,066,512",Africa,,,,,,,
104,Luxembourg,"70,256",,818,,"68,764",674,2,"110,562","1,287","2,942,489","4,630,589","635,446",Europe,,,,,,,
,Oceania,"69,614",+109,"1,254",,"66,939","1,421",11,,,,,,Australia/Oceania,,,,,,,
105,Maldives,"68,502",,187,,"49,844","18,471",90,"124,687",340,"905,329","1,647,877","549,391",Asia,,,,,,,
106,Mongolia,"67,710","+1,267",318,+5,"54,713","12,679",126,"20,349",96,"3,009,838","904,569","3,327,374",Asia,,,,,,,
107,Singapore,"62,219",+9,33,,"61,660",526,2,"10,558",6,"12,366,898","2,098,495","5,893,223",Asia,,,,,,,
108,Namibia,"59,092",,920,,"52,390","5,782",57,"22,871",356,"450,044","174,188","2,583,661",Africa,,,,,,,
109,Botswana,"58,095",,885,,"53,887","3,323",1,"24,250",369,"1,193,343","498,115","2,395,717",Africa,,,,,,,
110,Uganda,"53,961",,383,,"47,760","5,818",24,"1,146",8,"1,151,421","24,458","47,077,451",Africa,,,,,,,
111,Jamaica,"48,983",,971,,"26,424","21,588",7,"16,475",327,"394,958","132,838","2,973,224",North America,,,,,,,
112,Ivory Coast,"47,493",,306,,"46,989",198,,"1,760",11,"654,588","24,258","26,983,927",Africa,,,,,,,
113,Madagascar,"41,758",+16,871,+5,"40,870",17,115,"1,473",31,"205,997","7,266","28,350,875",Africa,,,,,,,
114,Senegal,"41,725",+12,"1,150",+2,"40,323",252,5,"2,433",67,"530,519","30,929","17,152,838",Africa,,,,,,,
115,Zimbabwe,"39,238",,"1,611",,"36,746",881,1,"2,605",107,"487,719","32,376","15,064,181",Africa,,,,,,,
116,Sudan,"36,004",,"2,697",,"29,716","3,591",,804,60,"232,965","5,200","44,798,972",Africa,,,,,,,
117,Angola,"35,854",,800,,"29,329","5,725",9,"1,060",24,"587,595","17,378","33,812,272",Africa,,,,,,,
118,Cambodia,"35,511",+678,278,+12,"28,649","6,584",,"2,097",16,"1,201,405","70,945","16,934,239",Asia,,,,,,,
119,Malawi,"34,403",,"1,157",,"32,675",571,10,"1,756",59,"249,520","12,738","19,588,134",Africa,,,,,,,
120,DRC,"33,338",,805,,"27,751","4,782",,362,9,"163,710","1,778","92,081,446",Africa,,,,,,,
121,Cabo Verde,"31,147",,267,,"29,826","1,054",23,"55,460",475,"161,272","287,160","561,610",Africa,,,,,,,
122,Malta,"30,572",+1,419,,"30,083",70,,"69,067",947,"943,984","2,132,622","442,640",Europe,,,,,,,
123,Australia,"30,199",+5,910,,"29,147",142,1,"1,172",35,"18,984,626","736,542","25,775,336",Australia/Oceania,,,,,,,
124,Rwanda,"27,307",,360,,"26,254",693,10,"2,061",27,"1,475,285","111,343","13,249,913",Africa,,,,,,,
125,Trinidad and Tobago,"26,799",,589,,"16,215","9,995",22,"19,091",420,"202,164","144,020","1,403,717",North America,,,,,,,
126,French Guiana,"24,935",,126,,"9,995","14,814",30,"81,525",412,"262,786","859,176","305,858",South America,,,,,,,
127,Réunion,"24,901",,189,,"22,796","1,916",35,"27,629",210,"102,720","113,973","901,268",Africa,,,,,,,
128,Syria,"24,680",,"1,796",,"21,640","1,244",,"1,379",100,"103,566","5,787","17,894,903",Asia,,,,,,,
129,Gabon,"24,591",,154,,"22,815","1,622",17,"10,812",68,"821,940","361,380","2,274,447",Africa,,,,,,,
130,Guinea,"23,312",+5,164,+1,"21,382","1,766",24,"1,732",12,"455,682","33,847","13,462,835",Africa,,,,,,,
131,Mayotte,"20,176",,173,,"2,964","17,039",6,"72,336",620,"176,919","634,302","278,919",Africa,,,,,,,
132,Mauritania,"19,853",,470,,"18,834",549,16,"4,168",99,"276,504","58,053","4,762,923",Africa,,,,,,,
133,French Polynesia,"18,899",,142,,"18,728",29,1,"66,918",503,"26,355","93,318","282,422",Australia/Oceania,,,,,,,
134,Eswatini,"18,664",,673,,"17,906",85,11,"15,934",575,"213,763","182,493","1,171,352",Africa,,,,,,,
135,Guyana,"17,718",,411,,"15,520","1,787",17,"22,425",520,"161,788","204,771","790,092",South America,,,,,,,
136,Suriname,"16,786",,355,,"12,725","3,706",35,"28,377",600,"66,742","112,830","591,529",South America,,,,,,,
137,Guadeloupe,"16,530",,221,,"2,250","14,059",29,"41,306",552,"201,479","503,461","400,188",North America,,,,,,,
138,Papua New Guinea,"16,374",,164,,"15,659",551,7,"1,798",18,"117,373","12,892","9,104,459",Australia/Oceania,,,,,,,
139,Haiti,"15,754",,330,,"12,557","2,867",,"1,366",29,"71,047","6,161","11,531,917",North America,,,,,,,
140,Somalia,"14,768",,773,,"6,964","7,031",,906,47,"136,782","8,390","16,303,937",Africa,,,,,,,
141,Mali,"14,302",,519,,"9,880","3,903",,688,25,"301,621","14,507","20,790,954",Africa,,,,,,,
142,Andorra,"13,777",,127,,"13,557",93,3,"178,043","1,641","193,595","2,501,874","77,380",Europe,,,,,,,
143,Togo,"13,542",,125,,"13,250",167,,"1,601",15,"341,201","40,337","8,458,706",Africa,,,,,,,
144,Burkina Faso,"13,453",,167,,"13,265",21,,628,8,"190,723","8,898","21,434,280",Africa,,,,,,,
145,Tajikistan,"13,308",,90,,"13,218",0,,"1,367",9,,,"9,736,420",Asia,,,,,,,
146,Belize,"12,899",,325,,"12,442",132,2,"31,902",804,"138,154","341,682","404,335",North America,,,,,,,
147,Seychelles,"12,466",,46,,"11,336","1,084",,"126,027",465,"21,504","217,399","98,915",Africa,,,,,,,
148,Curaçao,"12,280",,123,,"12,137",20,4,"74,551",747,"113,993","692,045","164,719",North America,,,,,,,
149,Martinique,"12,040",,95,,98,"11,847",8,"32,107",253,"182,468","486,590","374,993",North America,,,,,,,
150,Congo,"12,026",,157,,"11,110",759,,"2,131",28,"155,793","27,603","5,644,028",Africa,,,,,,,
151,Bahamas,"12,024",,232,,"11,026",766,3,"30,307",585,"100,093","252,286","396,744",North America,,,,,,,
152,Hong Kong,"11,869",+3,210,,"11,584",75,1,"1,571",28,"16,710,131","2,212,189","7,553,663",Asia,,,,,,,
153,Taiwan,"11,694",+219,308,+22,"1,133","10,253",,490,13,"1,197,200","50,182","23,857,014",Asia,,,,,,,
154,Djibouti,"11,565",,154,,"11,389",22,,"11,549",154,"161,876","161,655","1,001,365",Africa,,,,,,,
155,Aruba,"11,059",,107,,"10,886",66,14,"103,173",998,"168,768","1,574,490","107,189",North America,,,,,,,
156,Lesotho,"10,837",,326,,"6,437","4,074",,"5,022",151,"94,973","44,008","2,158,076",Africa,,,,,,,
157,South Sudan,"10,688",,115,,"10,514",59,,945,10,"164,472","14,535","11,315,902",Africa,,,,,,,
158,Vietnam,"9,103",+120,55,+2,"3,509","5,539",,93,0.6,"4,941,514","50,344","98,154,567",Asia,,,,,,,
159,Equatorial Guinea,"8,626",,118,,"8,203",305,7,"5,967",82,"123,169","85,202","1,445,611",Africa,,,,,,,
160,Benin,"8,082",,102,,"7,893",87,5,651,8,"604,310","48,666","12,417,489",Africa,,,,,,,
161,Timor-Leste,"7,764",,17,,"5,515","2,232",,"5,786",13,"92,122","68,657","1,341,771",Asia,,,,,,,
162,Nicaragua,"7,481",,187,,"4,225","3,069",,"1,117",28,,,"6,697,925",North America,,,,,,,
163,CAR,"7,101",,98,,"6,859",144,2,"1,447",20,"54,814","11,169","4,907,810",Africa,,,,,,,
164,Yemen,"6,812",,"1,336",,"3,588","1,888",23,224,44,"73,845","2,426","30,435,575",Asia,,,,,,,
165,Iceland,"6,612",,30,,"6,530",52,2,"19,260",87,"689,619","2,008,747","343,308",Europe,,,,,,,
166,Gambia,"6,002",,179,,"5,800",23,3,"2,421",72,"81,795","32,988","2,479,552",Africa,,,,,,,
167,Niger,"5,439",,192,,"5,132",115,2,217,8,"109,969","4,396","25,016,095",Africa,,,,,,,
168,Saint Lucia,"5,138",,80,,"4,905",153,,"27,862",434,"49,423","268,006","184,410",North America,,,,,,,
169,San Marino,"5,090",,90,,"4,998",2,,"149,715","2,647","66,865","1,966,733","33,998",Europe,,,,,,,
170,Chad,"4,940",,174,,"4,760",6,,293,10,"121,889","7,228","16,862,338",Africa,,,,,,,
171,Burundi,"4,925",,8,,773,"4,144",,403,0.7,"309,390","25,321","12,218,615",Africa,,,,,,,
172,Eritrea,"4,499",,14,,"3,987",498,,"1,252",4,"23,693","6,596","3,592,087",Africa,,,,,,,
173,Gibraltar,"4,300",,94,,"4,199",7,,"127,665","2,791","259,601","7,707,410","33,682",Europe,,,,,,,
174,Sierra Leone,"4,208",,79,,"3,161",968,,518,10,"153,257","18,856","8,127,606",Africa,,,,,,,
175,Channel Islands,"4,076",,86,,"3,956",34,,"23,244",490,"454,413","2,591,374","175,356",Europe,,,,,,,
176,Barbados,"4,032",,47,,"3,922",63,,"14,014",163,"173,740","603,887","287,703",North America,,,,,,,
177,Comoros,"3,890",,146,,"3,736",8,,"4,387",165,,,"886,796",Africa,,,,,,,
178,Guinea-Bissau,"3,787",,68,,"3,529",190,4,"1,883",34,"69,167","34,392","2,011,144",Africa,,,,,,,
179,Liechtenstein,"3,022",,58,,"2,942",22,3,"79,048","1,517","45,301","1,184,959","38,230",Europe,,,,,,,
180,New Zealand,"2,692",+10,26,,"2,644",22,,538,5,"2,171,925","434,203","5,002,100",Australia/Oceania,,,,,,,
181,Monaco,"2,508",,33,,"2,469",6,1,"63,492",835,"51,953","1,315,233","39,501",Europe,,,,,,,
182,Bermuda,"2,497",,33,,"2,455",9,7,"40,233",532,"284,965","4,591,544","62,063",North America,,,,,,,
183,Sint Maarten,"2,484",,29,,"2,378",77,2,"57,329",669,"28,642","661,035","43,329",North America,,,,,,,
184,Turks and Caicos,"2,421",,17,,"2,387",17,2,"61,754",434,"94,789","2,417,840","39,204",North America,,,,,,,
185,Sao Tome and Principe,"2,353",,37,,"2,304",12,,"10,554",166,"14,270","64,008","222,940",Africa,,,,,,,
186,Liberia,"2,290",,88,,"2,055",147,2,443,17,"109,435","21,176","5,167,946",Africa,,,,,,,
187,St. Vincent Grenadines,"2,076",,12,,"1,845",219,2,"18,657",108,"49,768","447,276","111,269",North America,,,,,,,
188,Saint Martin,"2,040",,12,,"1,399",629,7,"51,936",306,"27,588","702,360","39,279",North America,,,,,,,
189,Laos,"1,970",+2,3,,"1,773",194,,267,0.4,"263,648","35,755","7,373,766",Asia,,,,,,,
190,Bhutan,"1,703",,1,,"1,405",297,,"2,185",1,"798,573","1,024,443","779,519",Asia,,,,,,,
191,Caribbean Netherlands,"1,616",,17,,"1,580",19,,"61,096",643,"8,550","323,251","26,450",North America,,,,,,,
192,Isle of Man,"1,598",,29,,"1,562",7,1,"18,700",339,"64,093","750,038","85,453",Europe,,,,,,,
193,Mauritius,"1,458",,18,,"1,206",234,,"1,145",14,"358,675","281,592","1,273,738",Africa,,,,,,,
194,Antigua and Barbuda,"1,263",,42,,"1,214",7,,"12,798",426,"16,700","169,225","98,685",North America,,,,,,,
195,St. Barth,"1,005",,1,,462,542,,"101,464",101,"26,385","2,663,806","9,905",North America,,,,,,,
196,Fiji,845,+94,4,,234,607,2,936,4,"129,205","143,163","902,500",Australia/Oceania,,,,,,,
197,Faeroe Islands,744,,1,,699,44,,"15,173",20,"286,527","5,843,197","49,036",Europe,,,,,,,
,,721,,15,,706,0,0,,,,,,,,,,,,,
198,Diamond Princess,712,,13,,699,0,,,,,,,,,,,,,,
199,Cayman Islands,587,,2,,575,10,,"8,835",30,"99,576","1,498,736","66,440",North America,,,,,,,
200,Tanzania,509,,21,,183,305,7,8,0.3,,,"61,309,908",Africa,,,,,,,
201,Wallis and Futuna,445,,7,,438,0,,"40,257",633,"20,508","1,855,256","11,054",Australia/Oceania,,,,,,,
202,British Virgin Islands,248,,1,,209,38,,"8,153",33,"39,777","1,307,637","30,419",North America,,,,,,,
203,Brunei,244,,3,,231,10,,553,7,"129,279","292,897","441,381",Asia,,,,,,,
204,Dominica,188,,,,188,0,,"2,606",,"17,381","240,891","72,153",North America,,,,,,,
205,Grenada,161,,1,,160,0,,"1,425",9,"28,684","253,820","113,009",North America,,,,,,,
206,New Caledonia,128,,,,58,70,,444,,"33,057","114,759","288,055",Australia/Oceania,,,,,,,
207,Anguilla,109,,,,109,0,,"7,205",,"22,201","1,467,544","15,128",North America,,,,,,,
208,Saint Kitts and Nevis,83,,,,51,32,,"1,550",,"16,831","314,304","53,550",North America,,,,,,,
209,Falkland Islands,63,,,,63,0,,"17,627",,"7,307","2,044,488","3,574",South America,,,,,,,
210,Macao,51,,,,49,2,,78,,"4,483","6,818","657,571",Asia,,,,,,,
211,Greenland,43,,,,34,9,,756,,"26,225","461,204","56,862",North America,,,,,,,
212,Vatican City,27,,,,27,0,,"33,624",,,,803,Europe,,,,,,,
